Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score(TSS) ,Max Avg Power (20 min),Power,Max Power
indoor_cycling,5/14/2018 6:26,10.61,325,45:11:00,133,176,14.1,25.8,--,--,--,--,154,37.7,128,120,531
cycling,2/10/2018 7:30,70.37,"1,770",4:29:01,154,195,15.7,50.8,"1,939","1,860",83,144,152,239.6,193,110,661
indoor_cycling,2/6/2018 4:41,17.7,502,1:16:28,148,184,13.9,25.7,--,3,84,110,151,69.1,177,110,506
cycling,2/15/2018 15:16,14.65,362,1:00:56,134,180,14.4,28.1,59,43,80,156,150,52.9,139,101,547
cycling,1/28/2018 8:31,30.47,"1,122",2:11:37,--,--,13.9,25.2,--,--,87,114,150,117.8,166,142,299
indoor_cycling,1/14/2018 8:27,36.15,"1,188",2:23:56,151,179,15.1,27.7,16,23,--,--,150,136.9,164,138,232
cycling,12/25/2017 10:09,36.21,"1,080",2:08:31,144,169,16.9,26.2,230,217,89,113,150,122.6,158,140,413
indoor_cycling,1/11/2018 19:31,10.5,309,39:22:00,146,175,16,24.9,--,--,--,--,149,36.6,161,131,319
cycling,12/30/2017 5:30,87.27,"2,442",5:24:20,152,181,16.1,28.6,974,830,87,112,149,303.9,170,126,577
indoor_cycling,1/11/2018 17:46,12.48,355,50:05:00,149,180,15,40.3,--,--,89,128,148,46.1,133,118,542
indoor_cycling,2/4/2018 8:30,47.46,"1,054",2:07:59,140,166,22.3,30.1,--,--,87,121,147,110,166,137,394
cycling,12/26/2017 5:15,16.14,505,1:00:21,147,164,16.1,20,39,56,89,112,147,54.9,149,140,459
cycling,3/4/2018 13:50,0.01,127,16:24,--,--,0,--,--,--,91,116,146,13.2,--,129,414
road_biking,5/5/2018 12:30,5.23,130,22:13,151,175,14.1,29,230,256,77,121,143,15.8,90,98,602
cycling,3/3/2018 10:47,1.62,48,06:57.7,117,146,14,26.6,89,85,86,112,143,5.2,--,115,455
indoor_cycling,3/29/2018 18:29,3.08,101,19:41,139,164,9.4,18.9,--,--,96,118,142,15.1,--,86,327
cycling,3/13/2018 19:43,2.18,56,11:13,143,176,11.7,23.3,--,--,73,97,142,8.4,--,83,362
indoor_cycling,1/6/2018 8:46,43.07,"1,005",2:21:59,148,188,18.2,29,10,3,--,--,139,115.8,157,118,520
indoor_cycling,3/1/2018 6:32,16.84,427,1:06:02,132,184,15.3,26.7,--,--,88,127,138,48.6,113,108,576
cycling,12/27/2017 5:36,32.1,924,1:58:30,150,166,16.3,20,92,82,86,106,138,95.9,147,130,417
cycling,2/25/2018 13:11,2.99,72,12:34,150,178,14.3,26.1,16,16,80,105,135,8.6,--,96,604
road_biking,5/26/2018 11:01,0.86,17,03:28.3,159,168,14.8,26.4,39,59,76,103,134,1.9,--,86,502
cycling,12/31/2017 8:10,81.24,"2,432",5:36:42,143,172,14.5,26.3,597,571,84,128,134,256.5,150,120,674
road_biking,5/6/2018 12:02,5.01,193,29:48:00,--,--,10.1,25.4,135,125,83,111,131,18.1,81,108,637
indoor_cycling,6/4/2018 18:28,23.4,618,1:30:01,127,163,15.6,25.5,--,--,83,107,129,52.8,142,115,653
indoor_cycling,2/23/2018 19:38,15.04,292,44:17:00,--,--,20.4,30.2,--,--,91,126,129,28.4,135,110,405
